"np","m","n","w","maj_vote","agreement"
"Ahne",16,14,3,"m",0.40530303030303
"Assistenz",2,13,18,"f",0.439393939393939
"Aushängeschild",3,28,2,"n",0.723484848484849
"Aushilfe",3,23,7,"n",0.524621212121212
"Aushilfskraft",0,24,9,"n",0.590909090909091
"Ausnahmetalent",4,27,2,"n",0.678030303030303
"Autorität",19,14,0,"m",0.496212121212121
"Azubi",12,21,0,"n",0.522727272727273
"Babysitter",3,2,28,"f",0.723484848484849
"Balg",11,20,2,"n",0.465909090909091
"Bankier",30,2,1,"m",0.825757575757576
"Barkeeper",32,1,0,"m",0.93939393939394
"Bedienung",1,13,19,"f",0.471590909090909
"Begleitung",2,14,17,"f",0.431818181818182
"Beirat",13,19,1,"n",0.471590909090909
"Berühmtheit",2,24,7,"n",0.56439393939394
"Blödian",32,1,0,"m",0.93939393939394
"Boss",25,7,1,"m",0.607954545454546
"Clown",31,2,0,"m",0.882575757575758
"Diva",0,2,31,"f",0.882575757575758
"Ekel",11,19,3,"n",0.433712121212121
"Fachkraft",8,22,3,"n",0.496212121212121
"Fan",8,20,5,"n",0.431818181818182
"Feigling",24,9,0,"m",0.590909090909091
"Ferkel",15,17,1,"n",0.456439393939394
"Filmstar",9,20,4,"n",0.439393939393939
"Flüchtling",21,12,0,"m",0.522727272727273
"Fratz",21,11,1,"m",0.501893939393939
"Freak",28,4,1,"m",0.727272727272727
"Fuchs",19,13,1,"m",0.471590909090909
"Führungskraft",15,16,2,"n",0.428030303030303
"Gangster",33,0,0,"m",1
"Gast",5,28,0,"n",0.734848484848485
"Gegenüber",1,32,0,"n",0.93939393939394
"Geisel",1,27,5,"n",0.683712121212121
"Geizhals",26,7,0,"m",0.65530303030303
"Genie",15,18,0,"n",0.488636363636364
"Geschöpf",4,20,9,"n",0.439393939393939
"Glückskind",1,31,1,"n",0.880681818181818
"Gör",0,7,26,"f",0.65530303030303
"Hauptfigur",6,26,1,"n",0.643939393939394
"Haushaltshilfe",0,2,31,"f",0.882575757575758
"Hilfskraft",4,18,11,"n",0.40530303030303
"Hippie",12,20,1,"n",0.484848484848485
"Hoheit",15,13,5,"m",0.365530303030303
"Idol",9,20,4,"n",0.439393939393939
"Ikone",4,15,14,"n",0.382575757575758
"Individuum",3,30,0,"n",0.829545454545455
"Influencer",4,16,13,"n",0.386363636363636
"Insasse",31,2,0,"m",0.882575757575758
"Jahrhunderttalent",10,22,1,"n",0.522727272727273
"Jockey",31,2,0,"m",0.882575757575758
"Junkie",24,9,0,"m",0.590909090909091
"Kauz",28,5,0,"m",0.734848484848485
"Kind",2,30,1,"n",0.825757575757576
"Klatschbase",0,15,18,"f",0.488636363636364
"Klatschtante",0,1,32,"f",0.93939393939394
"Koryphäe",9,17,7,"n",0.365530303030303
"Kultfigur",10,21,2,"n",0.484848484848485
"Laie",17,15,1,"m",0.456439393939394
"Laufwunder",12,21,0,"n",0.522727272727273
"Lebewesen",0,33,0,"n",1
"Legende",15,17,1,"n",0.456439393939394
"Lehrkraft",3,21,9,"n",0.471590909090909
"Lehrling",24,9,0,"m",0.590909090909091
"Leichtgewicht",9,13,11,"n",0.320075757575758
"Leitung",16,14,3,"m",0.40530303030303
"Majestät",14,13,6,"m",0.348484848484848
"Mannequin",8,12,13,"f",0.325757575757576
"Memme",24,8,1,"m",0.575757575757576
"Mensch",4,29,0,"n",0.78030303030303
"Mitglied",4,29,0,"n",0.78030303030303
"Model",1,4,28,"f",0.727272727272727
"Monster",17,16,0,"m",0.484848484848485
"Mündel",8,22,3,"n",0.496212121212121
"Nachwuchstalent",2,28,3,"n",0.723484848484849
"Nerd",32,1,0,"m",0.93939393939394
"Nesthäkchen",5,17,11,"n",0.380681818181818
"Neuzugang",8,25,0,"n",0.621212121212121
"Newbie",11,19,3,"n",0.433712121212121
"Oberhaupt",24,9,0,"m",0.590909090909091
"Opfer",6,25,2,"n",0.598484848484849
"Original",2,31,0,"n",0.882575757575758
"Passagier",17,15,1,"m",0.456439393939394
"Patenkind",4,28,1,"n",0.727272727272727
"Person",2,30,1,"n",0.825757575757576
"Phänomen",2,31,0,"n",0.882575757575758
"Popstar",2,20,11,"n",0.465909090909091
"Portier",32,1,0,"m",0.93939393939394
"Racker",31,2,0,"m",0.882575757575758
"Rotschopf",4,17,12,"n",0.393939393939394
"Schatz",0,22,11,"n",0.541666666666667
"Scheusal",14,14,5,"unklar",0.363636363636364
"Schlitzohr",23,9,1,"m",0.547348484848485
"Schnapsdrossel",13,11,9,"m",0.320075757575758
"Snob",26,7,0,"m",0.65530303030303
"Spaßvogel",28,5,0,"m",0.734848484848485
"Star",2,29,2,"n",0.772727272727273
"Superstar",5,20,8,"n",0.431818181818182
"Talent",3,28,2,"n",0.723484848484849
"Teenager",9,17,7,"n",0.365530303030303
"Tennis-Ass",8,23,2,"n",0.534090909090909
"Tier",7,24,2,"n",0.56439393939394
"Trotzkopf",18,14,1,"m",0.462121212121212
"Unikum",2,30,1,"n",0.825757575757576
"Unschuldslamm",3,23,7,"n",0.524621212121212
"Urahne",20,13,0,"m",0.507575757575758
"Vertretung",1,23,9,"n",0.547348484848485
"Vorbild",7,22,4,"n",0.488636363636364
"Vormund",11,18,4,"n",0.40530303030303
"Vorstand",24,9,0,"m",0.590909090909091
"Wache",30,2,1,"m",0.825757575757576
"Waise",8,20,5,"n",0.431818181818182
"Wesen",2,29,2,"n",0.772727272727273
"Wunderkind",7,25,1,"n",0.607954545454546
"Zögling",22,11,0,"m",0.541666666666667
